ba,nercr,transreg,transgrp,cendiv,st,h2ptcreg,interconnect,st_interconnect,country,aggreg
p64,ERCOT,ERCOT,ERCOT,WSC,TX,Texas,ercot,TX_ercot,USA,TX_ERCOT_E
p65,ERCOT,ERCOT,ERCOT,WSC,TX,Texas,ercot,TX_ercot,USA,TX_ERCOT_E
p66,MISO,MISO,MISO_South,WSC,TX,Texas,eastern,TX_eastern,USA,TX_MISO
p67,ERCOT,ERCOT,ERCOT,WSC,TX,Texas,ercot,TX_ercot,USA,TX_ERCOT_E
p68,MISO,MISO,MISO_North,WNC,MN,Midwest,eastern,MN,USA,MN
p69,MISO,MISO,MISO_North,WNC,IA,Midwest,eastern,IA,USA,IA
p70,MISO,MISO,MISO_North,WNC,IA,Midwest,eastern,IA,USA,IA
p71,MISO,MISO,MISO_Central,WNC,MO,Midwest,eastern,MO,USA,MO
p72,MISO,MISO,MISO_Central,WNC,MO,Midwest,eastern,MO,USA,MO
p73,MISO,MISO,MISO_Central,WNC,MO,Midwest,eastern,MO,USA,MO
p74,MISO,MISO,MISO_North,ENC,MI,Midwest,eastern,MI,USA,MI
p75,MISO,MISO,MISO_North,ENC,WI,Midwest,eastern,WI,USA,WI
p76,MISO,MISO,MISO_North,ENC,WI,Midwest,eastern,WI,USA,WI
p77,MISO,MISO,MISO_North,ENC,WI,Midwest,eastern,WI,USA,WI
p78,MISO,MISO,MISO_North,ENC,WI,Midwest,eastern,WI,USA,WI
p79,MISO,MISO,MISO_North,ENC,WI,Midwest,eastern,WI,USA,WI
p80,PJM,PJM,PJM_West,ENC,IL,Midwest,eastern,IL,USA,IL_PJM
p81,MISO,MISO,MISO_Central,ENC,IL,Midwest,eastern,IL,USA,IL_MISO
p82,MISO,MISO,MISO_Central,ENC,IL,Midwest,eastern,IL,USA,IL_MISO
p83,MISO,MISO,MISO_Central,ENC,IL,Midwest,eastern,IL,USA,IL_MISO
p84,MISO,MISO,MISO_Central,WNC,MO,Midwest,eastern,MO,USA,MO
p85,MISO,MISO,MISO_South,WSC,AR,Delta,eastern,AR,USA,AR
p86,MISO,MISO,MISO_South,WSC,LA,Delta,eastern,LA,USA,LA
p87,MISO,MISO,MISO_South,ESC,MS,Delta,eastern,MS,USA,MS
p88,SERC_C,SERTP,SERTP,ESC,MS,Delta,eastern,MS,USA,MS
p89,SERC_SE,SERTP,SERTP,ESC,AL,Southeast,eastern,AL,USA,AL
p90,SERC_SE,SERTP,SERTP,ESC,AL,Southeast,eastern,AL,USA,AL
p91,SERC_SE,SERTP,SERTP,SA,FL,Florida,eastern,FL,USA,FL
p92,SERC_C,SERTP,SERTP,ESC,TN,Southeast,eastern,TN,USA,TN
p93,SERC_C,SERTP,SERTP,ESC,KY,MidAtlantic,eastern,KY,USA,KY
p94,SERC_SE,SERTP,SERTP,SA,GA,Southeast,eastern,GA,USA,GA
p95,SERC_E,SERTP,SERTP,SA,SC,Southeast,eastern,SC,USA,SC
