Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,13217,Newton County,Georgia,279.2,Crop,60,30.4,dt,452716800,BTU,0.11,14892000,Southeast
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,23001,Androscoggin County,Maine,497.12,Crop,70,0,dt,0,BTU,0,15722000,Northeast
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,40045,Ellis County,Oklahoma,1231.85,Crop,60,73.8,dt,1099029600,BTU,0.06,14892000,Southern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,22057,Lafourche Parish,Louisiana,1153.36,Crop,40,12.1,dt,210152800,BTU,0.01,17368000,Delta States
near-term,agriculture land,Ag processing waste,Rice hulls,POLYSYS,22065,Madison Parish,Louisiana,650.61,Crop,48,1802.7,dt,24556379400,BTU,2.77,13622000,Delta States
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,31097,Johnson County,Nebraska,376.73,Crop,40,16.9,dt,293519200,BTU,0.04,17368000,Northern Plains
near-term,agriculture land,Ag processing waste,Rice hulls,POLYSYS,22083,Richland Parish,Louisiana,564.41,Crop,48,4586,dt,62470492000,BTU,8.13,13622000,Delta States
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,09013,Tolland County,Connecticut,417.13,Crop,40,2.6,dt,45156800,BTU,0.01,17368000,Northeast
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,28043,Grenada County,Mississippi,449.4,Crop,60,525.5,dt,7825746000,BTU,1.17,14892000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,24033,Prince George's County,Maryland,487.99,Crop,40,53.3,dt,925714400,BTU,0.11,17368000,Northeast
near-term,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,45079,Richland County,South Carolina,771.95,Crop,48,774.8,dt,10938626400,BTU,1,14118000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,37171,Surry County,North Carolina,536.66,Crop,40,383.6,dt,6662364799,BTU,0.71,17368000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,01121,Talladega County,Alabama,760.32,Crop,40,18.7,dt,324781600,BTU,0.02,17368000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,13217,Newton County,Georgia,279.2,Crop,40,15.6,dt,270940800,BTU,0.06,17368000,Southeast
near-term,agriculture land,Agricultural residues,Oats straw,POLYSYS,31013,Box Butte County,Nebraska,1077.91,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,30089,Sanders County,Montana,2789.9,Crop,40,11.6,dt,201468800,BTU,0,17368000,Mountain States
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,37001,Alamance County,North Carolina,434.24,Crop,40,47.7,dt,828453599,BTU,0.11,17368000,Appalachia
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,48163,Frio County,Texas,1134.35,Crop,60,1598.2,dt,23800394399,BTU,1.41,14892000,Southern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,55087,Outagamie County,Wisconsin,644.61,Crop,40,2.1,dt,36472800,BTU,0,17368000,Lake States
near-term,agriculture land,Agricultural residues,Wheat straw,POLYSYS,47177,Warren County,Tennessee,434.03,Crop,70,1010,dt,15040920000,BTU,2.33,14892000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,45085,Sumter County,South Carolina,682.08,Crop,40,10.4,dt,180627200,BTU,0.02,17368000,Southeast
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,48141,El Paso County,Texas,1015.29,Crop,60,605.9,dt,9023062800,BTU,0.6,14892000,Southern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,19083,Hardin County,Iowa,569.99,Crop,40,3.1,dt,53840800,BTU,0.01,17368000,Corn Belt
