county,population
p30099,6430
p30101,5133
p30103,772
p30105,7474
p30107,2057
p30109,910
p30111,170843
p31001,30899
p31003,6302
p31005,412
p31007,674
p31009,436
p31011,5310
p31013,10692
p31015,1725
p31017,2853
p31019,50697
p31021,6727
p31023,8459
p31025,27446
p31027,8262
p31029,3724
p31031,5492
p31033,9541
p31035,6116
p31037,10566
p31039,8918
p31041,10581
p31043,21268
p31045,8133
p31047,24085
p31049,1871
p31051,5491
p31053,37187
p31055,589540
p31057,1561
p31059,5548
p31061,2825
p31063,2585
p31065,4556
p31067,21634
p31069,1794
p31071,1763
p31073,1847
p31075,565
p31077,2219
p31079,62197
p31081,9537
p31083,3045
p31085,846
p31087,2552
p31089,10093
p31091,679
p31093,6527
p31095,7054
p31097,5198
p31099,6770
p31101,8113
p31103,805
p31105,3289
p31107,8298
p31109,326716
p31111,33365
p31113,655
p31115,592
p31117,383
p31119,35627
p31121,7755
p31123,4504
p31125,3274
p31127,7076
p31129,4095
p31131,16335
p31133,2512
p31135,2795
p31137,9057
p31139,7299
p31141,34609
p31143,5228
p31145,10457
p31147,7689
p31149,1271
p31151,14555
p31153,199886
p31155,23463
p31157,35699
p31159,17671
p31161,4928
p31163,2983
p31165,1154
p31167,5856
p31169,4829
p31171,677
p31173,6557
p31175,4012
p31177,21152
p31179,9874
p31181,3351
p31183,775
p31185,14356
p32001,25803
p32003,2336573
p32005,49545
p32007,54293
p32009,736
p32011,1917
p32013,17136
p32015,5769
p32017,4452
p32019,62583
p32021,4528
p32023,55720
p32027,6364
p32029,4177
p32031,498022
p32033,8522
p32510,58036
p33001,65027
p33003,52448
p33005,77703
p33007,31372
p33009,93146
p33011,427354
p33013,157103
p33015,320689
p33017,133243
p33019,43969
p34001,275213
p34003,957736
p34005,469167
p34007,527196
p34009,94610
p34011,152326
p34013,851117
p34015,308423
p34017,705472
p34019,130183
p34021,381671
p34023,863623
p34025,642799
p34027,514423
p34029,659197
p34031,513395
p34033,65338
p34035,348842
p34037,146132
p34039,572726
p34041,111252
p35001,671586
p35003,3825
p35005,63561
p35006,26780
p35007,12255
p35009,47222
p35011,1657
p35013,225210
p35015,60275
p35017,27472
p35019,4292
p35021,624
p35023,3965
p35025,72101
p35027,20029
p35028,19444
p35029,25316
p35031,68797
p35033,4123
p35035,68835
p35037,8510
p35039,39876
p35041,18787
p35043,155936
p35045,120675
p35047,26668
p35049,155956
p35051,11488
p35053,15963
p35055,34405
p35057,15633
p35059,3964
p35061,79141
p36001,316659
p36003,46651
p36005,1356476
p36007,196077
p36009,75600
p36011,74485
p36013,124891
p36015,81325
p36017,45920
p36019,78115
p36021,60470
p36023,45752
p36025,44410
p36027,297150
p36029,946147
p36031,36775
p36033,46502
p36035,52234
p36037,57529
p36039,47062
p36041,5082
p36043,59484
p36045,114787
p36047,2561225
p36049,26548
p36051,61158
p36053,66921
p36055,748482
p36057,49368
p36059,1381715
p36061,1597451
p36063,209457
p36065,227555
p36067,467873
p36069,112494
p36071,407470
p36073,39124
p36075,118162
p36077,60126
p36079,98060
p36081,2252196
p36083,159305
p36085,490687
p36087,340807
p36089,106940
p36091,238711
p36093,159902
p36095,30105
p36097,17507
p36099,32349
p36101,92162
p36103,1523170
p36105,79920
p36107,47715
p36109,103558
p36111,182333
p36113,65380
p36115,60047
p36117,90829
p36119,990817
p36121,39532
p36123,24472
p37001,179165
p37003,36473
p37005,11342
p37007,21897
p37009,27063
p37011,17561
p37013,44481
p37015,16922
p37017,29484
p37019,159964
p37021,275901
p37023,88338
p37025,240016
p37027,80574
p37029,11137
p37031,69615
p37033,22807
p37035,164645
p37037,81624
p37039,29959
p37041,13891
p37043,11864
p37045,101378
p37047,50121
p37049,102391
p37051,337890
p37053,31593
p37055,38110
p37057,174804
p37059,44599
p37061,49520
p37063,336892
p37065,48832
p37067,392921
p37069,77001
p37071,237242
p37073,10343
p37075,8052
p37077,62192
p37079,20530
p37081,549866
p37083,47298
p37085,141477
p37087,62969
p37089,119230
p37091,19453
p37093,54446
p37095,4607
p37097,199710
p37099,44574
p37101,241955
p37103,9401
p37105,67059
p37107,54895
p37109,95675
p37111,44893
p37113,38412
p37115,22071
p37117,21447
p37119,1163701
p37121,14999
p37123,26085
p37125,106898
p37127,96551
p37129,238852
p37131,16715
p37133,213676
p37135,150626
p37137,12423
p37139,41444
p37141,68521
p37143,13377
p37145,39737
p37147,175119
p37149,20060
p37151,147458
p37153,42324
p37155,117365
p37157,92518
p37159,151661
p37161,65507
p37163,59601
p37165,34376
p37167,65699
p37169,45532
p37171,71462
p37173,13916
p37175,33549
p37177,3461
p37179,256452
p37181,42301
p37183,1190275
p37185,18836
p37187,10713
p37189,54748
p37191,118686
p37193,66013
p37195,78970
p37197,37774
p37199,18938
p38001,2163
p38003,10726
p38005,5745
